id,block,block.type,block.name,block.capacity
C11,block1,part10,orange-area,0
C12,block1,part11,orange-area,0
C13,block1,part12,orange-area,0
C24,block3,part23,(blue/green)-area,0
C5,block0,part4,pink-area,0
D10,block1,part9,orange-area,0
D21,block3,part20,green-area,0
D36,block4,part35,lightblue-area,0
E21,block3,part20,(green/pink)-area,0
E3,block0,part2,pink-area,0
E31,block4,part30,lightblue-area,0
E32,block4,part31,lightblue-area,0
E7,block0,part6,pink-area,0
E9,block1,part8,orange-area,0
F16,block2,part15,pink-area,0
F18,block2,part17,pink-area,0
F19,block2,part18,pink-area,0
F22,block3,part21,(green/blue)-area,0
F23,block3,part22,(green/blue)-area,0
F36,block4,part35,lightblue-area,0
F6,block1,part5,pink-area,0
F8,block1,part7,(pink/green)-area,0
G10,block1,part9,orange-area,0
G15,block2,part14,pink-area,0
G18,block2,part17,pink-area,0
G26,block3,part25,pink-area,0
G27,block3,part26,pink-area,0
G34,block4,part33,(lightblue/orange)-area,0
G5,block0,part4,pink-area,0
G7,block0,part6,pink-area,0
H10,block2,part9,orange-area,0
H14,block2,part13,orange-area,0
H16,block3,part15,(pink/blue/green)-area,0
H17,block3,part16,(pink/blue/green)-area,0
H24,block3,part23,(pink/blue/green)-area,0
H36,block4,part35,(lightblue/orange)-area,0
H7,block1,part6,(pink/orange)-area,0
J10,blocks0-4,part9,orange-area,0
J13,blocks0-4,part12,orange-area,0
J17,blocks0-4,part16,orange-area,0
J23,blocks0-4,part22,orange-area,0
J34,blocks0-4,part33,orange-area,0
J36,blocks0-4,part35,orange-area,0
J37,blocks0-4,part36,orange-area,0
J6,blocks0-4,part5,orange-area,0
